user,total_tokens,output_tokens,success_count,latency_sum_s,eff_output_tput
user-0,76595.0,41706.0,50,110.39185633200002,377.79960755955153
user-1,64540.0,40191.0,50,102.35434670499998,392.6652975064779
user-2,78195.0,41334.0,50,110.77950591300002,373.1195554569578
user-3,73845.0,41072.0,50,108.240557878,379.4511115352254
user-4,34210.0,5966.0,50,48.22439292199999,123.71332511431798
user-5,36594.0,6356.0,50,49.823123915000004,127.57128619320537
user-6,39362.0,6732.0,50,51.54035141799999,130.6161059206304
user-7,31974.0,5569.0,50,46.197243541,120.54831788951908
