user,total_tokens,output_tokens,success_count,latency_sum_s,eff_output_tput
user-0,76595.0,41706.0,50,1391.1769285389998,29.978933049011406
user-1,64540.0,40191.0,50,1562.9362847449997,25.715059783487813
user-2,78195.0,41334.0,50,1358.6894263800004,30.421963399043662
user-3,73845.0,41072.0,50,1421.5811022049998,28.891774050944857
user-4,34210.0,5966.0,50,1183.894534913,5.039300228240702
user-5,36594.0,6356.0,50,1136.622555002,5.592005870399797
user-6,39362.0,6732.0,50,960.0572389179999,7.012081912519167
user-7,31974.0,5569.0,50,1115.271533462,4.993402801838616
