user,total_tokens,output_tokens,success_count,latency_sum_s,eff_output_tput
user-0,76595.0,41706.0,50,2831.575698876001,14.728901655906736
user-1,64540.0,40191.0,50,2663.9263969579993,15.08712855050915
user-2,78195.0,41334.0,50,2848.104240043,14.512811511202255
user-3,73845.0,41072.0,50,2791.8349427519993,14.711471430869778
user-4,34210.0,5966.0,50,2777.264776792,2.1481567223458207
user-5,36594.0,6356.0,50,2628.49801075,2.418111017777189
user-6,39362.0,6732.0,50,2376.523284541,2.832709464195388
user-7,31974.0,5569.0,50,2814.165975959,1.978916683513032
