user,success_requests,total_tokens,output_tokens,latency_sum_s,eff_output_tput
user-0,50,76595.0,41706.0,111.05973642200003,375.5276335388311
user-1,50,64540.0,40191.0,103.18735653799999,389.49539312211357
user-2,50,78195.0,41334.0,111.83876249900001,369.5856345010039
user-3,50,73845.0,41072.0,109.227653078,376.0219948209478
user-4,50,34210.0,5966.0,48.800948082000005,122.25172326519882
user-5,50,36594.0,6356.0,50.95560128899999,124.73604155804746
user-6,50,39362.0,6732.0,52.493851580999994,128.24359038719552
user-7,50,31974.0,5569.0,47.33365650199999,117.65412629308899
