user,success_requests,total_tokens,output_tokens,latency_sum_s,eff_output_tput
user-0,50,76595.0,41706.0,109.11489053899999,382.220976385376
user-1,50,64540.0,40191.0,100.99161445499999,397.96373408713424
user-2,50,78195.0,41334.0,109.311368003,378.1308454475257
user-3,50,73845.0,41072.0,107.02695437199996,383.75379586383076
user-4,50,34210.0,5966.0,46.778233168999996,127.53795079104606
user-5,50,36594.0,6356.0,48.12944683,132.06052466071944
user-6,50,39362.0,6732.0,49.99140783400001,134.66314096122437
user-7,50,31974.0,5569.0,45.170688084,123.28791604068141
