user,total_tokens,output_tokens,success_count,latency_sum_s,eff_output_tput
user-0,76595.0,41706.0,50,2713.9712629590003,15.367148712742301
user-1,64540.0,40191.0,50,2744.172586252,14.645944719859255
user-2,78195.0,41334.0,50,2650.350316913,15.59567417794937
user-3,73845.0,41072.0,50,2513.2860662509997,16.34195189776625
user-4,34210.0,5966.0,50,2500.79713062,2.3856393335355848
user-5,36594.0,6356.0,50,2462.0635214210006,2.581574335796008
user-6,39362.0,6732.0,50,2289.966010746,2.939781624883997
user-7,31974.0,5569.0,50,2554.702735002,2.1799013731418113
