user,success_requests,total_tokens,output_tokens,latency_sum_s,eff_output_tput
user-0,50,39530.0,36373.0,35.980706003,1010.9028988193642
user-1,50,34817.0,31625.0,31.762135914,995.6824089421658
user-2,50,42662.0,38916.0,37.966739208999996,1025.0024313590507
user-3,50,35208.0,32125.0,32.200599377,997.6522369625827
user-4,50,45583.0,29129.0,31.900338585999997,913.1251043455619
user-5,50,52896.0,32739.0,35.60435433099999,919.5223622267689
user-6,50,48770.0,29275.0,32.584824039,898.4243697299532
user-7,50,49082.0,31429.0,34.173245126,919.6960921948821
