user,total_tokens,output_tokens,success_count,latency_sum_s,eff_output_tput
user-0,76595.0,41706.0,50,110.46457195500003,377.550913038343
user-1,64540.0,40191.0,50,102.53157166499997,391.98657883949653
user-2,78195.0,41334.0,50,111.09301200099996,372.06660667034527
user-3,73845.0,41072.0,50,108.10344108599999,379.93240166449294
user-4,34210.0,5966.0,50,48.675769165,122.5661166190634
user-5,36594.0,6356.0,50,49.393668121999994,128.6804613154258
user-6,39362.0,6732.0,50,50.730765712000014,132.70053990940633
user-7,31974.0,5569.0,50,46.51150478699999,119.73381694493231
