user,total_tokens,output_tokens,success_count,latency_sum_s,eff_output_tput
user-0,76595.0,41706.0,50,1322.624232664,31.532765671468695
user-1,64540.0,40191.0,50,1562.0915173320006,25.728966295550254
user-2,78195.0,41334.0,50,1245.3100281220002,33.19173464164106
user-3,73845.0,41072.0,50,1342.391986169,30.59613020874311
user-4,34210.0,5966.0,50,1105.238066458,5.397932066454674
user-5,36594.0,6356.0,50,1187.5442597490005,5.352221568014151
user-6,39362.0,6732.0,50,1185.6858400410001,5.677726571962108
user-7,31974.0,5569.0,50,1095.00243425,5.085833442748805
