user,success_requests,total_tokens,output_tokens,latency_sum_s,eff_output_tput
user-0,50,45340.0,17316.0,55.85033695999999,310.042892174522
user-1,50,51048.0,17920.0,59.07970937200002,303.3190276405274
user-2,50,54428.0,18872.0,61.932300085,304.71983075227007
user-3,50,47669.0,17762.0,57.29431874800002,310.0132855776389
user-4,50,45194.0,18640.0,56.888794288000014,327.65679486253197
user-5,50,50270.0,18332.0,59.313284919999994,309.07072546606815
user-6,50,48346.0,16003.0,55.52049337499999,288.23591123212
user-7,50,45351.0,17980.0,56.363788000999996,318.99914178374604
