user,success_requests,total_tokens,output_tokens,latency_sum_s,eff_output_tput
user-0,50,45340.0,17316.0,47.16600750099999,367.12880562623144
user-1,50,51048.0,17920.0,50.38367971000001,355.67072717087177
user-2,50,54428.0,18872.0,53.244580208,354.43983080111656
user-3,50,47669.0,17762.0,48.600937622,365.4662002232596
user-4,50,45194.0,18640.0,48.29726916500001,385.9431459016736
user-5,50,50270.0,18332.0,50.49273912700001,363.0621019368965
user-6,50,48346.0,16003.0,46.78010071100002,342.08990055117613
user-7,50,45351.0,17980.0,47.706190213000006,376.8902928471623
